category,question,option1,option2,option3,option4,correct_answer,explanation
ビジョン・基本方針,チームみらいが目指すビジョンは何ですか？,経済成長を最優先にした社会づくり,テクノロジーで誰も取り残さない日本をつくる,伝統的な価値観を重視した社会づくり,規制緩和による自由競争社会の実現,2,チームみらいは「テクノロジーで誰も取り残さない日本をつくる」をビジョンに掲げています。
ビジョン・基本方針,チームみらいが提案する政策の3つのステップのうち、第1ステップは何ですか？,変化に対応できる、しなやかな仕組みづくり,長期の成長に大胆に投資する,デジタル時代の当たり前をやりきる,国際競争力の強化,3,第1ステップは「デジタル時代の当たり前をやりきる」です。これは即効性の高い施策を実施することを目的としています。
ビジョン・基本方針,日本が戦後から80年代にかけて経済成長を遂げた理由として、マニフェストで挙げられているのは何ですか？,豊富な天然資源の活用,人口増加による労働力の拡大,テクノロジーを活用したイノベーション,海外からの投資の拡大,3,マニフェストでは、カラーテレビ、新幹線、電気炊飯器など、テクノロジーを活用したイノベーションが経済成長を牽引したと説明されています。
教育政策,チームみらいが提案する「専属のAI家庭教師」の主な目的は何ですか？,教師の完全な代替,子ども一人ひとりの個性・特性に合わせた教育の実施,教育費の削減,統一的な学習内容の提供,2,AI家庭教師は子ども一人ひとりの個性・特性に合わせた教育を実施し、学力向上と好奇心を育むことを目的としています。
教育政策,中学校の情報教育について、チームみらいが提案している政策は何ですか？,技術・家庭科の授業時間を増やす,プログラミング教育の義務化,教科「情報」を新設する,ICT機器の配布,3,現在の技術・家庭科（情報分野）は70時間/3年間と時間が不足しているため、教科「情報」を新設し授業時間を増やすことを提案しています。
教育政策,AIに特化した高校について、チームみらいが提案している名称は何ですか？,AI専門高等学校,スーパーAIハイスクール（SAIS）,情報技術高等学校,デジタル未来高校,2,「Super AI High Schools（SAIS）」として、AI教育に特化した先進校の確立を提案しています。
教育政策,教員の働き方改革で、AIによる教材作成時間の削減目標は何割ですか？,1割,2割,3割,5割,3,政策的に国産Copilotの開発・調達により、教材作成時間を3割削減することを目指すとしています。
行政改革,チームみらいが行政改革で目指す「使いやすい行政」のスローガンは何ですか？,迅速、正確、丁寧な行政サービス,行かせない、書かせない、待たせない、迷わせない,デジタルファースト、ワンスオンリー,効率的で透明性の高い行政運営,2,「行かせない、書かせない、待たせない、迷わせない行政」の実現を目指しています。
行政改革,永田町に設置を提案しているチームの名称は何ですか？,デジタル改革チーム,エンジニアチーム,IT推進チーム,DX専門チーム,2,「永田町にエンジニアチームを設置し、国会・行政のDXを推進する」ことを提案しています。
行政改革,「なめらかな税・社会保障」として提案されている仕組みは何ですか？,税率の一律化,社会保障制度の統合,物価や賃金に応じた税と社会保障の自動見直し,所得に関係ない定額制度,3,物価や賃金に応じて、税と社会保障を自動で見直す「なめらかな税・社会保障」を提案しています。
子育て支援,チームみらいが提案する「デジタル母子パスポート」の主な機能は何ですか？,母子の健康状態のモニタリングのみ,子育てを切れ目なくサポートし、補助券やワクチンの残高も自動管理,オンライン診療の予約機能のみ,育児相談のチャット機能のみ,2,デジタル母子パスポートは子育てを切れ目なくサポートし、補助券やワクチンの残高も自動管理して、紙の手続きをゼロにすることを目指しています。
子育て支援,AIと専門家を組み合わせた育児相談システムの名称は何ですか？,AI育児アシスタント,ハイブリッド型育児相談ポータル,スマート育児サポート,デジタル育児コンシェルジュ,2,「AIと専門家によるハイブリッド型育児相談ポータル」の設置を提案しています。
子育て支援,保育園の入園に関して提案されているシステムは何ですか？,AI保育マッチング,全国版保育マッチングプラットフォーム,デジタル保育申込システム,オンライン保育予約システム,2,「全国版保育マッチングプラットフォーム」の構築を提案しています。
医療政策,チームみらいが医療分野で目指す「通院のない通院」とは何ですか？,病院の完全廃止,オンライン診療と薬のドアツードア配送の実現,自宅での自己診断の推奨,医師の訪問診療の義務化,2,オンライン診療と薬のドアツードア配送により「通院のない通院」を実現することを目指しています。
医療政策,病院での待ち時間解消のために提案されている技術は何ですか？,AI診断システム,スマート受付とキャッシュレス,自動問診システム,ロボット受付,2,「スマート受付とキャッシュレスで待ち時間のない受診を実現」することを提案しています。
医療政策,医療の自己負担について、チームみらいが提案している仕組みは何ですか？,一律3割負担の維持,年齢に応じた負担割合,医療の有効性・重要度に応じたきめ細やかな自己負担,所得に応じた負担割合,3,「医療の有効性・重要度に応じたきめ細やかな自己負担」への変更を提案しています。
科学技術,研究支援業務へのAI・IT導入支援の主な目的は何ですか？,研究費の削減,研究者の負担軽減と研究効率向上,研究の自動化,研究データの統一管理,2,研究支援業務へのAI・IT導入により、研究者の負担を軽減し研究効率を向上させることを目指しています。
産業政策,すべての企業に対して提案されている取り組みは何ですか？,DX推進,AIシフト,クラウド移行,自動化導入,2,「すべての企業のAIシフトを実現する」ことを政策として掲げています。
産業政策,最先端テクノロジーの社会実装で特に言及されている技術は何ですか？,量子コンピュータ,自動運転,ブロックチェーン,5G通信,2,「自動運転をはじめとする最先端テクノロジーの社会実装を進める」ことを提案しています。
デジタル民主主義,パブリックコメントの機能不全解決のために提案されている技術は何ですか？,ブロックチェーン投票,広聴AI,オンライン議論システム,デジタル署名,2,「パブリックコメントの機能不全 - 広聴AIを活用する」ことを提案しています。
