category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ１教育,ナイジェリアのエド州でのAIチューター導入効果として挙げられていないのは？,貧困層の学習機会拡大,教育格差の是正,学力向上,教師の大幅な人件費削減,4,教師の人件費削減については言及されていません。
ステップ１教育,中学校に新設することが提案されている教科は？,AI,情報,プログラミング,デジタル,2,中学校に教科「情報」を新設することが提案されています。
ステップ１教育,Super AI High Schools（SAIS）の制度枠組みとして土台にするとされているのは？,SSH（スーパーサイエンスハイスクール）,SGH（スーパーグローバルハイスクール）,SPH（スーパープロフェッショナルハイスクール）,新しく創設する制度,1,SSH（スーパーサイエンスハイスクール）を土台にするとされています。
ステップ１教育,OECD TALIS調査（2018年）で示された日本の教員の労働時間について、小学校教員の週労働時間は？,51.4時間,54.4時間,57.4時間,60.4時間,2,日本の小学校教員の週労働時間は54.4時間とされています。
ステップ１教育,OECD TALIS調査（2018年）で示された日本の中学校教員の週労働時間は？,53.0時間,56.0時間,59.0時間,62.0時間,2,日本の中学校教員の週労働時間は56.0時間とされています。
ステップ１教育,OECD平均の小学校教員の週労働時間は？,38.6時間,40.6時間,42.6時間,44.6時間,2,OECD平均の小学校教員の週労働時間は40.6時間です。
ステップ１教育,日本の中学校教員の授業時間について、世界と比較した特徴は？,世界で最も長い,世界平均程度,世界で最も短い,データが不明,3,日本の中学校教員の授業時間は週18時間で世界で最も短いとされています。
ステップ１教育,教材作成時間の削減目標として挙げられている割合は？,2割,3割,4割,5割,2,教材作成時間を3割削減することを目指すとされています。
ステップ１教育,AIリスキリング支援の年間目標支援人数は？,50万人,100万人,150万人,200万人,2,年間100万人規模の支援を目指すとされています。
ステップ１教育,GIGAスクール構想について言及されている現状の課題は？,端末の不足,通信環境の整備不足,活用指導力の不足,予算の不足,3,教員のICT活用指導力には自己評価でもまだ伸び代があると記載されています。
