category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ１医療,オンライン診療が外来診療全体に占める割合（2021年データ）は？,0.001%,0.01%,0.1%,1%,1,外来診療全体におけるオンライン診療の割合はごくわずか（0.001%）と記載されています。
ステップ１医療,2023年の調査でオンライン診療を知っているが利用したことがない人の割合は？,約70%,約80%,約90%,約95%,3,90%の人がオンライン診療を知っているが、利用経験がある人は10%未満とされています。
ステップ１医療,2023年の調査で病院でのクレジットカード決済対応率は？,43%,53%,63%,73%,3,2023年の調査では63%の病院がクレジットカード決済に対応しています。
ステップ１医療,2023年の調査でクリニックでのクレジットカード決済対応率は？,23%,33%,43%,53%,2,2023年の調査では33%のクリニックがクレジットカード決済に対応しています。
ステップ１医療,医療機関での待ち時間について、30分以上待つ患者の割合は？,約30%,約40%,約50%,約60%,2,約40%の患者が30分以上待っているとされています。
ステップ１医療,医療機関での待ち時間について、1時間以上待つ患者の割合は？,約10%,約20%,約30%,約40%,2,約20%の患者が1時間以上待っているとされています。
ステップ１医療,オンライン診療の普及のために検討される診療報酬の対応は？,減算,据え置き,加算,新設,3,オンライン診療普及のための診療報酬の加算を検討すると記載されています。
ステップ１医療,「通院のない通院」の概念で重視されているのは？,医療費の削減,患者の利便性向上,医師の業務効率化,医療の質向上,2,患者の利便性向上が「通院のない通院」で重視されています。
ステップ１医療,スマート受付システムの主要な目的は？,コスト削減,待ち時間短縮,スタッフ業務軽減,すべて含む,4,コスト削減、待ち時間短縮、スタッフ業務軽減すべてが目的として挙げられています。
ステップ１医療,医療DXで期待されている最大の効果は？,医療費削減,アクセス改善,質の向上,効率化,2,医療へのアクセス改善が医療DXで期待される最大の効果とされています。
