category,question,option1,option2,option3,option4,correct_answer,explanation
ステップ３教育,国家が投入する教育費について、対GDP費での日本の現状は？,OECD平均より高い,OECD平均と同程度,OECD平均より低い,データが不明,3,対GDP費だと諸外国（OECD平均）より低いとされています。
ステップ３教育,GIGAスクール端末について、推奨帯域を満たす学校の割合は？,21.6％,31.6％,41.6％,51.6％,1,推奨帯域を満たす学校はわずか２割強（21.6％）にとどまっています。
ステップ３教育,EdTechスタートアップへの政府ファンドの規模として提案されているのは？,300億円規模,400億円規模,500億円規模,600億円規模,3,500億円規模のEdTechスタートアップへの政府ファンド新設が提案されています。
ステップ３教育,18〜29歳の若年層で「起業関心層」の割合は？,17％,27％,37％,47％,2,18〜29歳の若年層でも「起業関心層」は27％にとどまっています。
ステップ３教育,公的機関のイベントに参加したことがない割合は？,36.8％,46.8％,56.8％,66.8％,2,公的機関のイベントに参加したことがない人は46.8％となっています。
ステップ３教育,イベント不参加の理由として最も多いのは？,時間的負担,子どもが興味を示さない,イベントを知らなかった,費用負担,2,子どもが興味を示さないが34.3％で最多の理由です。
ステップ３教育,体験格差是正バウチャーとして提案されている年間支給額は？,5千円分,1万円分,1万5千円分,2万円分,2,年間１万円分のフィールド／インターン体験クレジットを全児童生徒に支給することが提案されています。
ステップ３教育,STEAM活動の推進で重視されている要素は？,理論学習,実践体験,資格取得,競技大会,2,実践的な体験学習がSTEAM活動で重視されています。
ステップ３教育,メイカースペースの主要な目的は？,技術習得,創造性育成,職業訓練,研究開発,2,創造性と実践力の育成がメイカースペースの主要目的です。
ステップ３教育,Buying for Schools frameworkの参考国は？,アメリカ,イギリス,ドイツ,フランス,2,イギリスのBuying for Schools frameworkが参考とされています。
