category,question,option1,option2,option3,option4,correct_answer,explanation
チームみらいのビジョン,マニフェストが指摘する日本の現状として、**誤っている**ものはどれか？,平均年収が20年間増えていない,出生数が過去最少を更新している,デジタル分野で世界的な企業が多数生まれている,実質GDPがほとんど成長していない,3,マニフェストでは、日本から世界的なインターネット企業は生まれず、デジタル赤字が増え続けていると指摘しています。
チームみらいのビジョン,マニフェストが現在の政治に不足していると指摘している議論は何か？,社会保障の充実,どう成長するか,格差の是正,環境問題への対策,2,マニフェストは、現在の政治では『どう再分配するか』の話ばかりで『どう成長するか』の議論が不足していると指摘しています。
チームみらいのビジョン,マニフェストが日本の経済成長の糸口として最も重要視しているものは何か？,豊富な天然資源,急速な人口増加,テクノロジー、創造性、イノベーション,海外からの大規模投資,3,マニフェストは、天然資源も人口増加もない日本が経済的成長を生み出す糸口はテクノロジー、創造性、イノベーションにこそあると述べています。
チームみらいのビジョン,AIの発展に関して、マニフェストが日本にとってチャンスと捉えている点は何か？,AIを「作る」技術で世界をリードしている点,AIの倫理基準策定で主導権を握れる点,AIを「使いこなす」レースが始まったばかりである点,AIによる失業問題への対策が最も進んでいる点,3,マニフェストは、AIを「作る」レースでは米中に遅れをとっているものの、AIを「使いこなす」レースはまだ始まったばかりであり、日本にとってチャンスであると述べています。
チームみらいのビジョン,マニフェストが提案する「未来をつくるための3ステップ」の第一歩は何か？,長期の成長に大胆に投資する,デジタル時代の当たり前をやりきる,変化に対応できる、しなやかな仕組みづくり,AI研究開発に国家予算の半分を投入する,2,マニフェストが提案する3ステップの第一は「デジタル時代の当たり前をやりきる」ことです。
チームみらいのビジョン,「変化に対応できる、しなやかな仕組みづくり」の具体例として、マニフェストで挙げられて**いない**ものはどれか？,AGIが早期開発された場合のシナリオプランニング強化,国民の意見を継続的に集めるデジタル民主主義の実践,全ての税制を廃止し、ベーシックインカムを導入する,個人の特性に応じたきめ細かな指導をAIチューターで行う,3,マニフェストでは、個人の貯蓄額や景気動向などに基づいた税制アルゴリズムの設計は提案されていますが、全ての税制廃止とベーシックインカム導入は具体例として挙げられていません。
チームみらいのビジョン,このマニフェストの改善プロセスに関する記述として、正しいものはどれか？,完成版として公開されており、今後変更の予定はない,専門家チームのみで議論し、内容は非公開で進められる,意見は聞くが、最終的な意思決定は多数決で行われる,未熟なバージョンを公開し、批判や意見を取り入れて改善していく,4,マニフェストは作成途中版（バージョン0.1）であり、批判のリスクを取りながら公開し、意見を取り入れて改善していく方針です。意思決定はチームみらいの人が行います。
チームみらいのビジョン,チームみらいの党議拘束に関する考え方として、適切なものはどれか？,全ての法案に対して党議拘束をかけ、党の方針を徹底する,党議拘束は一切かけず、全議員の完全な自由投票を認める,マニフェストで掲げた政策やビジョンについては党議拘束をかけ、それ以外は原則自由投票とする,予算案や首相指名についても党議拘束はかけず、議員の判断に委ねる,3,チームみらいは、マニフェストで掲げた政策やビジョン、予算案や首相指名などの重要法案については党議拘束をかけ、それ以外の論点については原則自由投票とする方針です。
項目には「オンライン政策インデックス,STEP1の教育政策において、すべての子どもに届けられるとされているものは何ですか？,最新型タブレット端末,専属のAI家庭教師,プログラミング必修化,デジタル教科書の無償配布,2,STEP1教育の項目には「すべての子どもに「専属のAI家庭教師」を届けます」と記載されています。
政策インデックス,STEP1の行政改革において、国会・行政のDXを推進するために永田町に設置されるものは何ですか？,AIによる政策立案システム,デジタル改革担当大臣室,エンジニアチーム,全国統一オンライン窓口,3,STEP1行政改革の項目には「永田町にエンジ
ステップ１「デジタル時代の当たり前をやりきる」,マニフェストが指摘する、日本がデジタル技術活用において抱える大きな問題意識は何ですか？,最新技術の研究開発が国際的に遅れていること,デジタル技術を日常的に活用する基盤が十分に整備されていないこと,国民の多くがデジタル技術の利用を拒否していること,デジタル関連企業への政府支援が過剰であること,2,文書では「日本では、教育現場から企業、地域社会から政治に至るまで、デジタル技術を日常的に活用する基盤が十分に整備されていません」と指摘されています。
ステップ１「デジタル時代の当たり前をやりきる」,日本がDXやAIの社会実装で他国に遅れをとっている根本的な原因として、マニフェストは何を挙げていますか？,国民のデジタルリテラシーが著しく低いこと,企業が短期的な利益を優先しデジタル投資を怠ってきたこと,政治とテクノロジーの間に距離があり、リーダーシップが不足していたこと,海外の先進的なデジタル技術の導入に障壁があること,3,「これらの問題の根底には、政治とテクノロジーとの間に距離があり、デジタル化を強力に推進するためのリーダーシップが十分に発揮されてこなかったことがあります」と述べられています。
ステップ１「デジタル時代の当たり前をやりきる」,マニフェストが、直面する課題の多くを解決するために真に必要としているものは何だと述べていますか？,海外の成功事例をそのまま模倣すること,国民全員にプログラミング教育を施すこと,デジタル化を断行する明確な「意思決定」と「実装力」,デジタル技術に関する新たな法律を多数制定すること,3,「真に必要とされているのは、デジタル化を断行するという明確な「意思決定」と、それを着実に社会の隅々まで浸透させていく「実装力」です」と強調されています。
ステップ１「デジタル時代の当たり前をやりきる」,教育分野において、マニフェストがすべての子どもに届けることを目指しているものは何ですか？,高性能な学習用パソコン,全国統一のデジタル教科書,専属のAI家庭教師,オンライン英会話の無料受講権,3,教育分野の目標として「1）すべての子どもに「専属のAI家庭教師」を届けます」と記載されています。
ステップ１「デジタル時代の当たり前をやりきる」,行政改革の一環として、国会・行政のDXを推進するために永田町に設置するとされているものは何ですか？,デジタル倫理監視委員会,AI技術開発研究所,エンジニアチーム,サイバーセキュリティ対策本部,3,行政改革の項目で「1）永田町にエンジニアチームを設置し、国会・行政のDXを推進します」と述べられています。
