category,question,option1,option2,option3,option4,correct_answer,explanation
チームみらいのビジョン,チームみらいが掲げる理念は何ですか？,テクノロジーで誰も取り残さない日本をつくる,デジタル格差をなくして平等な社会をつくる,AIで人間の仕事を代替する未来をつくる,すべての人にスマートフォンを配布する,1,チームみらいの中心的な理念は「テクノロジーで誰も取り残さない日本をつくる」です。
チームみらいのビジョン,マニフェストで提案されている３つのステップのうち、ステップ１は何ですか？,変化に対応できるしなやかな仕組みづくり,長期の成長に大胆に投資する,デジタル時代の当たり前をやりきる,国際競争力を高める基盤づくり,3,ステップ１は「デジタル時代の当たり前をやりきる」で、既存技術の着実な導入と定着を目指します。
チームみらいのビジョン,日本の2024年の出生数として言及されている数字は？,68万人,72万人,76万人,80万人,2,2024年の出生数は72万人と過去最少を更新したと記載されています。
チームみらいのビジョン,最新のAIモデルのIQが2024年5月の96から2025年4月にどこまで上昇したとされていますか？,120,136,150,180,2,最新のAIモデルのIQは2024年5月の96から2025年4月には136まで上昇したと記載されています。
チームみらいのビジョン,日本が戦後から一人当たりGDP世界一まで上り詰めるのにかかった期間は？,30年,40年,50年,60年,2,戦後から一人当たりGDP世界一まで「たった40年で」上り詰めたと記載されています。
チームみらいのビジョン,AIを「作る」レースと「使いこなす」レースについて、日本の現状として正しいのは？,両方で先行している,作るレースで先行、使いこなすレースで後進,作るレースで後進、使いこなすレースはまだ始まったばかり,両方で大きく遅れている,3,AIを「作る」レースは米中に大きく遅れをとっているが、AIを「使いこなす」レースはまだはじまったばかりと記載されています。
チームみらいのビジョン,チームみらいがマニフェスト改善に使用すると言及している具体的なシステムの名前は？,熟議AI,広聴AI,対話AI,議論AI,2,マニフェスト改善に「広聴AI」を使用すると言及されています。
チームみらいのビジョン,党議拘束について、チームみらいはどの範囲で拘束をかけると述べていますか？,すべての法案,政策集で掲げた政策と重要度の高い法案,経済政策のみ,まったくかけない,2,政策集で掲げた政策やビジョン、予算案、首相指名、重要度の高い法案に党議拘束をかけると述べています。
政策インデックス,ステップ１で「すべての子どもに専属のAI家庭教師を届けます」が含まれる政策分野は？,行政改革,教育,子育て,科学技術,2,「すべての子どもに専属のAI家庭教師を届けます」は教育分野のステップ１政策です。
政策インデックス,「なめらかな税・社会保障」はどのステップの政策ですか？,ステップ１,ステップ２,ステップ３,すべてのステップ,2,「なめらかな税・社会保障」はステップ２の行政改革に含まれています。
政策インデックス,ステップ３で子育て分野に含まれる政策の数は？,6個,7個,8個,9個,4,ステップ３の子育て分野には9つの政策が含まれています。
政策インデックス,デジタル民主主義の政策があるのはどのステップですか？,ステップ１のみ,ステップ２のみ,ステップ３のみ,ステップ１とステップ２,1,デジタル民主主義の政策はステップ１にのみ含まれています。
政策インデックス,医療分野で３つのステップすべてに政策があるかどうか？,ステップ１とステップ２のみ,ステップ２とステップ３のみ,すべてのステップにある,ステップ１のみ,3,医療分野はステップ１、ステップ２、ステップ３すべてに政策があります。
政策インデックス,「リスクマネーの流通と成長資金の確保を目的に、ディープテック特化型の公的ファンド」はどの分野の政策ですか？,産業,科学技術,経済財政,行政改革,2,これはステップ３の科学技術分野の政策です。
ステップ１,ステップ１の大きな問題意識として挙げられていない課題は？,デジタル技術を日常的に活用する基盤が不十分,政治とテクノロジーの距離,国際的な軍事的脅威の高まり,非効率な業務プロセスの温存,3,ステップ１では国際的な軍事的脅威については言及されていません。
ステップ１,ステップ１で「当たり前」のデジタル化を実践することで生まれる余力の再投資先として挙げられていないのは？,さらなる成長戦略,きめ細やかな国民サービス,海外展開支援,時間・人材・予算,3,海外展開支援は具体的な再投資先として挙げられていません。
ステップ１,ステップ１に含まれる政策分野の数は？,6分野,7分野,8分野,9分野,2,ステップ１には教育、子育て、行政改革、産業、科学技術、デジタル民主主義、医療の7分野が含まれています。
ステップ１教育,ナイジェリアのエド州でのAIチューター導入効果として挙げられていないのは？,貧困層の学習機会拡大,教育格差の是正,学力向上,教師の大幅な人件費削減,4,教師の人件費削減については言及されていません。
ステップ１教育,中学校に新設することが提案されている教科は？,AI,情報,プログラミング,デジタル,2,中学校に教科「情報」を新設することが提案されています。
ステップ１教育,Super AI High Schools（SAIS）の制度枠組みとして土台にするとされているのは？,SSH（スーパーサイエンスハイスクール）,SGH（スーパーグローバルハイスクール）,SPH（スーパープロフェッショナルハイスクール）,新しく創設する制度,1,SSH（スーパーサイエンスハイスクール）を土台にするとされています。
ステップ１教育,OECD TALIS調査（2018年）で示された日本の教員の特徴として正しいのは？,労働時間は短いが授業時間も短い,労働時間は長いが授業時間は短い,労働時間は短いが授業時間は長い,労働時間も授業時間も長い,2,労働時間は長いにもかかわらず授業にあてられる時間は短いことが示されています。
ステップ１教育,教材作成時間の削減目標として挙げられている割合は？,2割,3割,4割,5割,2,教材作成時間を3割削減することを目指すとされています。
ステップ１教育,AIリスキリング支援の年間目標支援人数は？,50万人,100万人,150万人,200万人,2,年間100万人規模の支援を目指すとされています。
ステップ１教育,教員のICT活用指導力について言及されている改善の余地は？,自己評価でもまだ伸び代がある,客観評価では高いが主観評価が低い,技術的には高いが指導法に課題,完全に不足している,1,教員のICT活用指導力には自己評価でもまだ伸び代があると記載されています。
ステップ１子育て,現在の母子手帳の主要な課題として挙げられていないのは？,紙媒体であること,妊娠中に受け取りに行く手間,紛失のリスク,記録できる項目が少ないこと,4,記録項目の少なさについては言及されていません。
ステップ１子育て,妊婦健診の受診券・補助券について、現在の課題として挙げられているのは？,枚数が多すぎること,枚数が不足して全額自己負担となるケース,手続きが複雑すぎること,有効期限が短すぎること,2,妊娠の経過により枚数が不足し全額自己負担となるケースが課題として挙げられています。
ステップ１子育て,AIと専門家によるハイブリッド型育児相談ポータルの対象者に含まれるのは？,妊産婦のみ,妊産婦と配偶者,女性のみ,子育て中の家族全員,2,妊産婦だけでなく、そのパートナーも対象とすると記載されています。
ステップ１行政改革,永田町エンジニアチームの規模として想定されているのは？,5名程度,10名程度,15名程度,20名程度,2,10名程度のエンジニアや調査員で構成されたチームとされています。
ステップ１行政改革,国民生活に直結する26手続きについて、オンラインで完結できる自治体の割合は？,45.1％,55.1％,65.1％,75.1％,3,オンラインで完結できる自治体は65.1％にとどまるとされています。
ステップ１行政改革,甲種防火管理講習のオンライン化による年間コスト削減効果の試算額は？,8.7億円,12.7億円,16.7億円,20.7億円,3,年間16.7億円のコスト削減効果が試算されています。
ステップ１行政改革,確定申告について目指している最終的な仕組みは？,半自動申告型,申告簡素化型,申告不要型,完全自動化型,3,最終的には「申告不要型」の仕組みを実現すると記載されています。
ステップ１行政改革,パブリックコメントで10万件超の意見が集まる際の問題として挙げられているのは？,意見の質が低い,職員の手作業による分類負担,システムの容量不足,専門性が不足,2,職員が手作業で分類するなど大きな事務負担が生じることが問題として挙げられています。
ステップ１行政改革,AI"0審"モデルの対象として想定されている分野は？,オンライン上の名誉毀損,交通違反,契約トラブル,知的財産権侵害,1,オンライン上の名誉毀損など発生件数が多いものについてAI"0審"モデルを開発するとされています。
